No,部屋名,X座標,Y座標,radius,イベント順序,イベント名,イベント本文,選択肢１名称,選択肢１本文（結果）,選択肢１経過時間,選択肢２名称,選択肢２本文（結果）,選択肢２経過時間,選択肢３名称,選択肢３本文（結果）,選択肢３経過時間,選択肢４名称,選択肢４本文（結果）,選択肢４経過時間
4,結石破砕室,100,644,10,2,配管ガスの確認,壁の酸素アウトレット付近からシューという音。,元栓を閉鎖,酸素漏れによる爆発・火災を防いだ。,3,テープで塞ぐ,応急処置。後で対策とする。,5,記録だけ残す,とりあえず記録するが、火災が起きた場合は爆発する,0,保留,対応を後回しにし、状況を見る。,1
4,結石破砕室,100,644,10,3,壁の亀裂,壁に横一直線の亀裂を確認した,使用禁止にする,張り紙を貼って、進入禁止とする,3,記録だけ残す,紙に書いたもののその紙を最終どこかに無くしてしまう,6,急いで本部に報告する,指示系統が麻痺しており、無駄な時間を過ごす。,5,保留,対応を後回しにし、状況を見る。,1
5,X-TV膀胱鏡,41,763,30,1,汚水逆流,トイレ直結の検査室。汚水が床に広がっている。,止水をあきらめ、部屋外への漏出を防ぐ,そこにあった板で入り口を押さえた,5,そのまま歩く,靴が汚染され、院内に菌を広げた。,1,高い所を飛び移る,着地に失敗し汚水の中へ転倒。,2,保留,対応を後回しにし、状況を見る。,1
5,X-TV膀胱鏡,41,763,30,2,棚の破損と転倒,高価な内視鏡がブラブラし、壁に当たりそうだ。,ケースに収納,破損を防ぎ、後の診療に貢献。,3,テープで固定,簡易的だが揺れには耐えた。,2,手で持ち続ける,自分の避難が遅れる。,5,保留,対応を後回しにし、状況を見る。,1
5,X-TV膀胱鏡,41,763,30,3,壁の亀裂,壁に縦の亀裂を発見,使用禁止にする,張り紙を貼って、進入禁止とする,3,記録を残して、本部に伝達,その後の対応はまた考える,2,従前からあったものと考える,建屋倒壊リスクがあり危険。,0,保留,対応を後回しにし、状況を見る。,1
6,歯科CT,89,704,10,1,狭い部屋での揺れ,機材が密集しているなかで余震発生,廊下へ出る,狭い部屋での圧死リスクを回避。,1,機器を支える,機器と壁に挟まれ、背骨を強打,9,隅にうずくまる,棚が倒れてくるも負傷のみ,3,保留,対応を後回しにし、状況を見る。,1
6,歯科CT,89,704,10,2,棚の破損,棚の上にあるパソコンが不安定である。床にモニターが倒れている,モニターを動かす,破片で手を切る,5,棚の上の物を下に置く,とりあえず安全に向ける,4,使用禁止にする,紙を貼って使用禁止にする,1,保留,対応を後回しにし、状況を見る。,1
6,歯科CT,89,704,10,3,電源コードのスパーク,コンセント付近で焦げ臭い,プラグを抜く,初期消火成功。火災防止。,2,水をかける,感電事故発生。【死亡】,60,見なかったことにする,後に火災発生。,0,保留,対応を後回しにし、状況を見る。,1
7,操作北,158,406,10,1,モニター倒壊,2面モニターが倒れてきそうだ。,椅子でガード・伏せる,身を守ることを最優先した。正解。,0,手で支える,液晶が割れていたことに気づかず手を怪我する,4,PC本体を守る,モニターをはずして床に置いた,1,保留,対応を後回しにし、状況を見る。,1
7,操作北,158,406,10,2,ガラス飛散防止,操作室の鉛ガラスにヒビ。崩れそうだ。,段ボール養生,飛散を最小限に抑え、通路確保。,5,使用禁止にする,紙を貼った際にガラス片で手を怪我する,5,ハンマーで割る,破片が飛び散り、部屋が使用不能に。,10,保留,対応を後回しにし、状況を見る。,1
7,操作北,158,406,10,3,情報収集（PHS）,院内PHSが繋がらない。,直接救急へ走る,確実な情報収集と安否確認ができた。,5,かけ直し続ける,回線パンクで繋がらず、10分浪費。,10,待機する,放射線科が無人と思われる。,10,保留,対応を後回しにし、状況を見る。,1
8,操作南,162,568,10,1,落下物,天井パネルが落ち、操作卓を直撃。,電源コードを抜く,誤作動とショートを防ぐ。,2,破片を手で払う,鋭利な金具で手を切る。,5,PCを起動する,異物が挟まりショート発火。,7,保留,対応を後回しにし、状況を見る。,1
8,操作南,162,568,10,2,ドア開放の確認,唯一の出口であるドアが歪んでいる。,ドアストッパー設置,避難路を確保した。,2,閉めて鍵をかける,余震で完全に開かなくなる。,5,使用禁止にする,紙を貼って使用禁止にする,2,保留,対応を後回しにし、状況を見る。,1
8,操作南,162,568,10,3,CR読み取り装置,電源の入っていないCR装置がある,電源をつける,起動した,2,ケーブル回りや配線を確認する,損傷ないことを確認,1,ブレーカーを落とす,火災予防をする,2,保留,対応を後回しにし、状況を見る。,1
9,待合,215,445,10,1,パニック発生,外国人患者たちが叫び声を上げ、出口に走っている,大声で叫ぶ,数名が冷静さを取り戻した。,1,後ろから追いかけて落ち着かせる,とりあえず落ち着かせる。,0,同じように走る,出口を確保するために行動したが、転んでしまう,3,保留,対応を後回しにし、状況を見る。,1
9,待合,215,445,10,2,トリアージ開始,出血患者と胸痛患者がいる。入り口から遭遇して助けを求められた,胸痛患者を優先,クラッシュ症候群リスクを考慮。,5,出血患者を優先,見た目の派手さに惑わされた。,3,全員に待機指示,状態悪化を見逃すリスクあり。,1,保留,対応を後回しにし、状況を見る。,1
9,待合,215,445,10,3,天井パネルの崩落,天井パネルが落下,椅子の下・トイレ確認,うずくまっていた聴覚障害者を発見。,5,すぐ避難する,逃げ遅れを見捨てた。,1,大声で呼びかける,返事がなく見逃した。,2,保留,対応を後回しにし、状況を見る。,1
10,マンモ,245,605,10,1,天井パネルの落下,部屋入り口のパネルが落下している,どける,通路確保。,1,天井を補修する,はしごを探して時間を取られる,5,パネルを片付けて使えるようにする,時間がかかった,4,保留,対応を後回しにし、状況を見る。,1
10,マンモ,245,605,10,2,床が隆起している,盛り上がった個所があり、亀裂がある,テープでマーキング,見えるようにする。,1,隆起の上に椅子を置いておく,何かがあることを知らせる,2,特になにもしない,次に来た人がこける,2,保留,対応を後回しにし、状況を見る。,1
10,マンモ,245,605,10,3,壁に1m程度の亀裂,床と平行に1mの亀裂が走っている,もともとだと思う,特に問題ないとする,1,部屋を使用禁止にする,張り紙を貼って入室禁止にする。,1,亀裂をテープで補修する,亀裂からの冷風を防ぐ,5,保留,対応を後回しにし、状況を見る。,1
11,骨塩定量測定,275,551,10,1,外装,外装に問題ないように見えるが現状、機器に亀裂はない,かるく見て問題ないと返すことが適法化,転落を防止した。基本動作。,1,アンカーボルトの確認,問題なし,3,ブレーカーを落とす,漏電防止措置を行った,1,保留,対応を後回しにし、状況を見る。,1
11,骨塩定量測定,275,551,10,2,プリンターが落下している,プリンターの上部が割れている,コンセントを抜く,火災の種を絶った。,1,プリンター上部が破損,とりあえず部品を集める,2,プリンターから紙を抜いておく,記録用紙としてA4は使用,2,保留,対応を後回しにし、状況を見る。,1
11,骨塩定量測定,275,551,10,3,骨粗鬆症患者の誘導,患者は高齢で足元がおぼつかない。歩様ゆっくり,手を引いて誘導,転倒させずに避難完了。,5,車椅子を探す,見つからず時間をロスした。,10,先に行くよう促す,患者が廊下で転倒し骨折してしまう。,1,保留,対応を後回しにし、状況を見る。,1
12,X線TV（北）,267,386,20,1,内視鏡ユニット,内視鏡ユニット倒れているのがここからだと人がいるかわからない,生存確認,扉を少し開けて、生存確認,3,内視鏡看護師が出勤していないか確認する,救急外来の看護師がいるかを確認する,3,そこで人が埋まっている,体重を支えきれず共倒れである。,5,保留,対応を後回しにし、状況を見る。,1
12,X線TV（北）,267,386,20,2,床の一部が濡れる,バリウム、ガストロがこぼれ、床が濡れている。,シーツを敷く,応急措置を考えて実施,5,水で洗い流す,範囲が広がり収拾塚なような形となる。床が少しべたべたしたまま。,10,拭き取る,とりあえず大まかに拭いた。,1,保留,対応を後回しにし、状況を見る。,1
12,X線TV（北）,267,386,20,3,トイレ閉じ込め,トイレから助けを呼ぶ声が聞こえた気がする。,ドアを蹴破る,緊急避難措置として行動したが誰もいなかった,5,鍵を探す,変形で鍵が使えなかった。,7,院内の管理部腫を呼ぶ,電話など繋がらない。,5,保留,対応を後回しにし、状況を見る。,1
13,X線TV（南）,278,508,20,1,棚からものが散乱,棚から固定具が全て落ちており、棚が４５度で倒れている,棚をおこす,触った瞬間に倒れてしまい、足を巻き込んだ,8,テープを探して進入禁止,危ないので予防措置を実施した。,2,使えそうなものを探す,ぎりぎり大丈夫であったが、次の余震で倒れるだろう,3,保留,対応を後回しにし、状況を見る。,1
13,X線TV（南）,278,508,20,2,手荒い場の損傷,蛇口が壊れて生活水が絶え間なく出ている,吸水シートで覆う,感染拡大を防止。,3,素手でとめる,効果なく、疲れた。,5,救急外来に行き誰か呼ぶ,誰も助けてくれず時間の無駄,6,保留,対応を後回しにし、状況を見る。,1
13,X線TV（南）,278,508,20,3,防護エプロン,避難時、鉛エプロンを持っていくと役に立つと考える。,置いていく,身軽さを優先する,1,着て逃げる,体力は消耗した。,5,頭に被る,ヘルメットない時の活用法,2,保留,対応を後回しにし、状況を見る。,1
14,TV操作,158,406,10,1,ペットボトル,操作卓に乗っていたペットボトルが倒れている,濡れている,拭き掃除する,1,ブレーカーを落とす,使用禁止にする,3,通電するか確認する,問題ないことを確認,5,保留,対応を後回しにし、状況を見る。,1
14,TV操作,158,406,10,2,床の隆起,よくみると床が盛り上がっている,養生する,踏まないようにマーキング,3,張り紙をする,他の人に伝える,1,配線を確認する,机とケーブルが挟まっているのを発見。どかす,3,保留,対応を後回しにし、状況を見る。,1
14,TV操作,158,406,10,3,電源,電源をつけて点検を行ったほうが良いと思う。,通常手順で電源をつける,付かない。（通電されていない）,3,ブレーカーを落とす,漏電防止としていったんブレーカーを落とす,1,マニュアルを探して対応する,呼んで該当箇所を探すのに時間がかかった,5,保留,対応を後回しにし、状況を見る。,1
15,当直室,382,666,5,1,拡声器の発見,拡声器を発見した。,持ち歩く,いざというときに使用可能となる。,1,後で使えるように出口に置いておく,あることを確認,1,電池を取り出す,他の物に使用する,0,保留,対応を後回しにし、状況を見る。,1
15,当直室,382,666,5,2,装備品の確保,ヘルメットとライトがある。,装備して部屋を出る,生存率と活動効率が大幅向上。,2,手ぶらで出る,落下物で頭部負傷。,1,スマホだけ持つ,片手が塞がり作業効率低下。,1,保留,対応を後回しにし、状況を見る。,1
15,当直室,382,666,5,3,食料の確保,非常食がロッカーにある。,ポケットに入れる,長期戦に備えた。,1,その場で食べる,喉が渇き、水が欲しくなる。,5,全部カバンに詰める,重くて動けなくなる。,3,保留,対応を後回しにし、状況を見る。,1
16,一般撮影（受付）,167,313,5,1,受付カウンター崩壊,受付用の電子カルテが倒れている,元に戻す,とりあえず整える,2,通路確保だけする,通路だけ確保,1,電源をつける,付かない。ケーブル損傷か？,2,保留,対応を後回しにし、状況を見る。,1
16,一般撮影（受付）,167,313,5,2,カルテの保護,患者情報が散らばっている,片付ける,以外に少なかったので棚に入れた,2,持ち歩く,かさばるも持ち運べない量ではなかった,2,束ねるだけ,最低限のまとめた,1,保留,対応を後回しにし、状況を見る。,1
16,一般撮影（受付）,167,313,5,3,電磁ロック,停電により電磁ロックが効いていない,手動開放し固定,避難経路を確保。,2,シャッターをあけてそこから通用する,とりあえず経路確保,1,こじ開けて保全,とりあえず通路確保,3,保留,対応を後回しにし、状況を見る。,1
17,X線TV（南）廊下,338,492,5,1,プロテクター散乱,防護衣ハンガーが倒れ道を塞ぐ。,端に寄せる,通路確保。,3,またいで通る,足を取られて転倒。,1,整理する,重くて腰を痛めるが安全な通路を確保できた,5,保留,対応を後回しにし、状況を見る。,1
17,X線TV（南）廊下,338,492,5,2,防火扉の作動,防火扉が閉まっている。扉は熱くない,くぐり戸を確認,安全に通過。,2,全開にする,突っかかっていたので疲れた,5,蹴る,足を痛める。,1,保留,対応を後回しにし、状況を見る。,1
17,X線TV（南）廊下,338,492,5,3,書類の散乱,マニュアル類が散乱している,片付ける,とりあえずきれいになった,3,どける,通路確保,1,それらを持ち歩く,動作が鈍くなる,1,保留,対応を後回しにし、状況を見る。,1
18,ミーティング学生室,386,473,10,1,机の下に何かがある,机の下に気になるものがある,机の下を確認,人ではなく段ボールだった,2,声掛けする,反応なし,1,机をひっくり返す,段ボールだった,1,保留,対応を後回しにし、状況を見る。,1
18,ミーティング学生室,386,473,10,2,天井パネルの落下,ボードが落下し、天井ケーブルがむき出しとなっている,ボード回収,通路確保。,2,人がいないかだけ確認する,巻き込まれたひとはいなかった,0,天井上を確認する,脚立を探すのに時間を有した,5,保留,対応を後回しにし、状況を見る。,1
18,ミーティング学生室,386,473,10,3,備蓄食品の確保,備蓄用の食品を見つけた,食べる,お腹が満たされた。落ち着いた,2,備蓄食品を運ぶ準備をする,数を数えて台車を探さねば,2,安全かだけ確認して記録だけ残す,後で取りにこよう,2,保留,対応を後回しにし、状況を見る。,1
19,CPU室,382,555,10,1,サーバーラック転倒,ラックが傾いている。倒れかけている,入室せず扉を閉める,倒壊による圧死を防ぐ。,1,使用禁止の紙を貼る,とりあえず封鎖,1,ケーブルを抜く,ショートし感電する事態をさけた,2,保留,対応を後回しにし、状況を見る。,1
19,CPU室,382,555,10,2,空調停止による熱,サーバー室が異常に暑い。,ドアを開放する,機器の熱暴走を遅らせる。,2,水を撒く,精密機器破損・感電してしまう,30,扇風機を探す,結局動かない,1,保留,対応を後回しにし、状況を見る。,1
19,CPU室,382,555,10,3,火災アラーム,煙感知器が作動しているような気がする,ハロン消火設備作動確認,窒息しないよう即時退避。,2,生存確認・人がいないか確認する,とりあえず人はいなさそう,0,人がいないか探す,ハロンガスにより呼吸困難になる,20,保留,対応を後回しにし、状況を見る。,1
20,ミーティングルーム前廊下,384,412,5,1,棚の転倒,書類棚が倒れ道を塞ぐ。,上を通行,足場を確認し慎重に通過。,2,片付ける,重すぎて動かない。腰痛。,5,動かして通れるだけの隙間を作る,かろうじて動いて通路確保,1,保留,対応を後回しにし、状況を見る。,1
20,ミーティングルーム前廊下,384,412,5,2,ガラス片の散乱,額縁が落ちて割れている。,靴のまま端を歩く,安全確保。,1,素手で拾う,怪我をする。,2,ほうきで集めて回収する,時間がかかったが安全確保,4,保留,対応を後回しにし、状況を見る。,1
20,ミーティングルーム前廊下,384,412,5,3,避難誘導,迷っている外来患者を発見,出口へ手招き、救急外来に誘導,的確に誘導できた,2,そのままにする,財布の盗難にあう,1,声だけで誘導する,患者が徘徊を続けてしまう。（どこかで巻き込まれる）,1,保留,対応を後回しにし、状況を見る。,1
21,小部屋,334,378,5,1,閉じ込め確認,ドアが開かない。誰かいるのかも,大声を出し助けが必要か確認する,人はいなさそう,2,ドアを破壊,体力をかなり消耗した,5,張り紙を貼る,この時間は人がいないことを知らせる,1,保留,対応を後回しにし、状況を見る。,1
21,小部屋,334,378,5,2,懐中電灯の確保,備品のライトがある。,点灯確認し携帯する,光源確保した,1,電池を抜く,他に活用するために,1,場所はわかったので、ここに置いておく,とりあえず把握,1,保留,対応を後回しにし、状況を見る。,1
21,小部屋,334,378,5,3,書類棚が倒れている,ドアをこれが半分ふさいでいた,棚をとりあえずどける,時間はかかったがどかすことができた,10,棚の下を見た,とりあえず生存確認だけした,1,散乱したものを片付ける,特に何も必要なものはなかった,5,保留,対応を後回しにし、状況を見る。,1
22,EP,308,198,5,1,配管ダクト入口が破損,空気循環ができているのか不安,人を呼ぶ,修理を依頼したいが捕まらない,10,ダクトを外してみる,外れなかった,2,写真を撮って保全する。,保全,1,保留,対応を後回しにし、状況を見る。,1
22,EP,308,198,5,2,ケーブルのスパークしている,配線から火花がでている,ブレーカーを落とす,火災防止。,2,手で握る,感電死する,20,水をかける,感電死,20,保留,対応を後回しにし、状況を見る。,1
22,EP,308,198,5,3,照明器具が落下している,ガラスが床に散乱している,ブレーカーを落とす,廊下にどこにあるのかわからない,3,破片を手で払う,手を怪我する,3,持ち出す,不潔になる。,2,保留,対応を後回しにし、状況を見る。,1
23,心カテ北廊下,337,131,10,1,壁の亀裂,壁にX字の亀裂。,中央を歩く,倒壊リスク回避。,2,壁に寄りかかる,崩落に巻き込まれる。天井からパネルが落下,10,亀裂を触る,その部分の亀裂が広がる,4,保留,対応を後回しにし、状況を見る。,1
23,心カテ北廊下,337,131,10,2,水漏れ発見,天井から水が滴下している。エアコン。,バケツ対応,すぐにいっぱいになる,5,防水シーツを置く,すぐにいっぱいになる,6,他の人に応援を求める,とりあえず伝達してみる。,2,保留,対応を後回しにし、状況を見る。,1
23,心カテ北廊下,337,131,10,3,床の隆起,床が液状化している,隆起しているところをロープを張る,つまずかないようにする,2,テープを張る,見えにくいが、応急措置をした,2,そこにあるものを置いておく,他の人に邪魔だとどかされてしまう。（10分後）,5,保留,対応を後回しにし、状況を見る。,1
24,心カテ(北),510,137,20,1,Cアームが動く,固定されているはずのCアームが揺れている,アーム退避・ロック,ロックがかからない,2,アンカーボルトの確認,アンカーボルトが浮いているようにみえる,0,触らないようにする,使用禁止になる,1,保留,対応を後回しにし、状況を見る。,1
24,心カテ(北),510,137,20,2,自動注入器が落下,自立型のインジェクターが落下している,脇に置いておく,後で考える。,2,電源をつけて自己診断させる。,使用可能となる。,2,断線しているかもしれないので、コードを確認する。,破損なし,5,保留,対応を後回しにし、状況を見る。,1
24,心カテ(北),510,137,20,3,壁の亀裂,壁に1cm×4cmの亀裂を発見,とりあえず、亀裂を隠す,紙でも貼っておく,2,危険なので、部屋を使用禁止にする,とりあえず人を入れないようにする。,1,亀裂の中を確認する,亀裂が広がる,4,保留,対応を後回しにし、状況を見る。,1
25,心カテ間,510,170,10,1,床下が濡れている,傍の水道が水漏れしている,水漏れを直す,物がないので直せない,4,防水テープを巻く,どこにあるかわからない,2,とりあえず、床の重要なものだけ動かす,とりあえず必要なものだけ移動させた,3,保留,対応を後回しにし、状況を見る。,1
25,心カテ間,510,170,10,2,鉛防護衣ハンガー倒壊・防護具散乱,ラックが傾いている。倒れている,端に寄せる,通路を確保,3,ラックを元に戻す,一気にしても重くて動かない。一つ一つしていると以外に時間がかかる,12,検査に入りそうな分だけ使えるか確認する,最低限の使用するときのものを整える,4,保留,対応を後回しにし、状況を見る。,1
25,心カテ間,510,170,10,3,薬剤の散乱,アンプルが割れている。,近づかない,受傷防止。,1,素手で拾う,切り傷。,2,ほうきで集めて回収する,ほうきを探すのに時間がかかった,6,保留,対応を後回しにし、状況を見る。,1
26,スタッフコーナー,605,194,5,1,情報端末の確保,電子カルテ端末。,電源確保し情報収集,患者情報入手。,3,ゲームをする,論外。,0,分解する,器物損壊。,0,保留,対応を後回しにし、状況を見る。,1
26,スタッフコーナー,605,194,5,2,内線電話の対応,電話が鳴っている。,出る,状況把握。,2,無視する,情報途絶。,0,切る,通信遮断。,0,保留,対応を後回しにし、状況を見る。,1
26,スタッフコーナー,605,194,5,3,筆記具の確保,落ちていた油性ペンとメモ,ポケットに入れる,何かに使えそうだ,1,伝言メモを残す,誰かが見てくれると思い記載する,2,そのままにする,後で取りにこよう,1,保留,対応を後回しにし、状況を見る。,1
27,血管造影（心カテ）,501,321,20,1,大型モニター落下,天吊りモニターが外れかけ。,直下退避,人身事故防止。,1,支える,圧死。,0,見上げる,顔面に落下。,0,保留,対応を後回しにし、状況を見る。,1
27,血管造影（心カテ）,501,321,20,2,Cアームが傾き,Cアームが気持ち傾いて見える,電源をつけてエラーを確認,通電できたもののエラーは確認できず,10,水平器で確認,発災前と変化したのかよくわからない,5,アンカーボルトの確認,特に浮いているように思わない,2,保留,対応を後回しにし、状況を見る。,1
27,血管造影（心カテ）,501,321,20,3,天井パネルの落下,寝台付近のパネルが落下して破片が散乱している,掃除する,以外に時間がかかる,5,使用禁止の紙を貼る,入室禁止にする。,1,天井を確認する,脚立を見つけるのに時間がかかったが安全確認した,10,保留,対応を後回しにし、状況を見る。,1
28,血管撮影室（南）,430,516,7,1,カテーテル棚倒壊,カテーテルが散乱。,踏まないよう迂回,物品保護。,2,使えるように片付ける,以外に時間がかかる,10,高そうなものだけ片付ける,破損・転倒回避,2,保留,対応を後回しにし、状況を見る。,1
28,血管撮影室（南）,430,516,7,2,ラージモニターが破損,ラージモニターのレール破損し落下している。,壁際へ退避,自分の身を守りながら観察する,1,動かしてみる,天井からレールが落下。頭部損傷,17,部屋を使用禁止とし、張り紙をはる,危険回避,4,保留,対応を後回しにし、状況を見る。,1
28,血管撮影室（南）,430,516,7,3,バイタルモニター,倒れており、液晶モニターが破損している。音が鳴っている,触らないようにする,とりあえず、後回しにする,1,音を消す,ボタン操作する,1,電源切る,監視放棄。,0,保留,対応を後回しにし、状況を見る。,1
29,血管撮影室（南）,493,512,7,1,感染性廃棄物箱から液体,不明な液体溜まり。,触らず迂回,薬品・感染の回避,1,臭いを嗅ぐ,誤って鼻についてしまう。精神的にダメージを負う,3,拭き取る,手荒れ・感染。,7,保留,対応を後回しにし、状況を見る。,1
29,血管撮影室（南）,493,512,7,2,配線のスパーク,床の配線から煙。,ブレーカーを落とす,火災防止。,3,水をかける,かけた水をつたって感電,15,消火作業を行う。,初期消火に成功。機器使用は不明,5,保留,対応を後回しにし、状況を見る。,1
29,血管撮影室（南）,493,512,7,3,扉の変形,ドア枠の変形で防護扉が閉まらない,備付ハンマー使用,脱出。,5,大声で叫ぶ,解決しない。,3,張り紙を貼り、別のところを見る,次の人に任せる,2,保留,対応を後回しにし、状況を見る。,1
30,血管撮影室（南）操作,542,568,5,1,鉛ガラスのヒビ,ガラスが割れそう。,養生テープ補強,飛散防止。,3,触れないように張り紙を貼る,安全確認を徹底,2,写真を撮って保全する。,被害の写真保全,1,保留,対応を後回しにし、状況を見る。,1
30,血管撮影室（南）操作,542,568,5,2,自動扉が開かない,電子ロックが外れていない,患者安否を外から確認する,誰かがいるか確認する,2,他の出入り口を確認する,回り込む,1,壊す,中々壊れないまま、時間だけが経過,10,保留,対応を後回しにし、状況を見る。,1
30,血管撮影室（南）操作,542,568,5,3,データのバックアップ,サーバー接続確認を行わなければならないか？,外付けハードディスクの確認,データ保全。,7,電源をつけてサーバー確認,電源が付いたのでバックアップ,8,電源付けずに損傷だけ確認,ケーブル断線有無を確認,2,保留,対応を後回しにし、状況を見る。,1
31,技師室カンファ室,627,471,10,1,連絡網の確保,緊急連絡網ファイルを発見,マニュアルの確認,招集準備。,1,後で考えるためいったん持ち出す。,片手がふさがる。,2,その場で電話してみる,繋がらない,3,保留,対応を後回しにし、状況を見る。,1
31,技師室カンファ室,627,471,10,2,電子カルテ端末,落下しそう。,床に置く,破損防止。,1,接着剤で貼る,無意味。,5,放置,落下・破損。,0,保留,対応を後回しにし、状況を見る。,1
31,技師室カンファ室,627,471,10,3,テレビ情報,ニュース流す。,情報収集,広域被害把握。,2,電源の確認,白いコンセントに接続されている。,1,モニターが表示されない,ビデオモードになっていた。,1,保留,対応を後回しにし、状況を見る。,1
32,ロッカー室,718,464,5,1,災害物品の発見,模造紙とペンの一式を発見（クロノロジー用）,壁に貼る,時系列記録準備。,2,床に敷く,床が濡れていることに気づかず少し使えなくなる,4,この場所で記録し始める,狭くてくしゃくしゃになる,3,保留,対応を後回しにし、状況を見る。,1
32,ロッカー室,718,464,5,2,ロッカーの傾き,いまにも倒れてきそう。,近づかない,下敷き回避。,1,ロッカーと床との間につかえそうなものがありそう,ロッカーに触れた直後に倒れて手が床とロッカーの間に挟まり損傷,8,そこ以外を探索して使用できるものを探す,何もなかった,4,保留,対応を後回しにし、状況を見る。,1
32,ロッカー室,718,464,5,3,私物の散乱,財布やロッカーの荷物が散乱,使用禁止にする,盗難防止。,5,片付けられるところを片付ける,使用できそうなものを探す。,4,部屋の奥までとりあえず人がいないか探す。,安全確認後すぐ部屋から出る。,2,保留,対応を後回しにし、状況を見る。,1
33,技師休憩室,751,462,5,1,家族への連絡,安否が心配。,LINE一通のみ,回線負荷軽減。,1,電話連打,繋がり難い・迷惑。,10,帰宅する,職場放棄。,0,保留,対応を後回しにし、状況を見る。,1
33,技師休憩室,751,462,5,2,身の安全確保,電子カルテを入力中に余震発生,机の下に隠れる,身の安全確保,1,パソコンが倒れないように抑える,それ以上の揺れにより体とともに転倒する。腕を負傷,2,本で頭を守る,揺れにより頭を守る前に転倒してしまう。腕の負傷,2,保留,対応を後回しにし、状況を見る。,1
33,技師休憩室,751,462,5,3,冷蔵庫の転倒,中身が出ている。,プラグ抜く,漏電防止。,1,食べる,食中毒。,2,戻す,また落ちる。,3,保留,対応を後回しにし、状況を見る。,1
